Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,85.02799224853516,85.07300655952622,83.66250281552038,84.30773465218546,118944600
2010-01-05,85.25301361083984,85.29052932812519,84.66780505539535,84.97541790966966,111579900
2010-01-06,85.31304168701172,85.52311597883121,85.10296739519221,85.17048882152199,116074400
2010-01-07,85.67320251464844,85.77823969658064,84.91542936719709,85.15551517219889,131091100
2010-01-08,85.95829010009766,85.99580582707975,85.27554851697471,85.44810712326122,126402800
2010-01-11,86.07833862304688,86.37844155219625,85.7107028038749,86.34093154810081,106375700
2010-01-12,85.27557373046875,85.68821822879718,84.94545355252761,85.50815527905564,163333500
2010-01-13,85.99580383300781,86.2358895974757,85.05796792116506,85.49311943394703,161822000
2010-01-14,86.22836303710938,86.38591874271528,85.84572448115523,85.89824304969054,115718800
2010-01-15,85.26052856445312,86.16084865097523,84.93040852815045,86.07832436599507,212283100
2010-01-19,86.3259048461914,86.37842342017782,85.2230090683814,85.24552193502865,139172700
2010-01-20,85.4481201171875,85.8682688476159,84.76537843024137,85.74072451503544,216490200
2010-01-21,83.80502319335938,85.73321379242867,83.6999860186316,85.47062085560925,344859600
2010-01-22,81.93685150146484,83.835030569462,81.84681718859159,83.429884747677,345942400
2010-01-25,82.35698699951172,82.83716420055792,82.08689555231055,82.68710703645112,186937500
2010-01-26,82.01187896728516,82.88219350450328,81.80930891415835,82.03438611495518,211168800
2010-01-27,82.40198516845703,82.58955228080038,81.27658249439702,81.9068052443055,271863600
2010-01-28,81.4566879272461,82.71713981046467,80.96151346817648,82.67212551166662,316104000
2010-01-29,80.57135009765625,82.37950029693044,80.4438058005718,81.80929451854124,310677600
2010-02-01,81.8243179321289,81.8318222232828,80.65390037238946,81.14157626364656,187865000
2010-02-02,82.81466674804688,82.9722225066149,81.68926356619254,81.97436936901745,216327900
2010-02-03,82.40198516845703,82.88966080536851,82.16189949362132,82.43949515646929,172730700
2010-02-04,79.85860443115234,81.80179766942382,79.84359585125053,81.76428766786144,356715700
2010-02-05,80.02364349365234,80.1886977606439,78.46308359041286,79.94861206199896,493585800
2010-02-08,79.44595336914062,80.52634214495352,79.38593049846303,80.08368062882617,224166900
2010-02-09,80.44380187988281,81.14155192134939,79.731043260611,80.37627472794978,337820500
2010-02-10,80.2862548828125,80.72891066655419,79.61101191057477,80.31626631758928,240511500
2010-02-11,81.12654113769531,81.21657542979288,79.7160382394041,80.18120682909885,223591600
2010-02-12,81.05903625488281,81.10405054807093,79.91112598581573,80.27125177951318,304622100
2010-02-16,82.3344955444336,82.41702556939421,80.89398083909717,81.67426106884521,159317500
2010-02-17,82.7246322631836,82.8371737181703,82.33448931577583,82.73213082917884,168845100
2010-02-18,83.21228790283203,83.38484646440875,82.55955220150258,82.58956363049306,193708600
2010-02-19,83.38487243652344,83.70748824353853,82.79966369916967,82.99473518631979,222684900
2010-02-22,83.39987182617188,83.71498330784956,83.15228178024113,83.69247616260058,132346900
2010-02-23,82.38703155517578,83.42990493758829,82.16945287281735,83.1748162421943,207497000
2010-02-24,83.14479064941406,83.27983926637746,82.42453326697485,82.63460762134085,176350700
2010-02-25,83.03221893310547,83.0922417908003,81.73425754899958,81.95933467921306,259634700
2010-02-26,83.08476257324219,83.36986837127543,82.6120953054821,83.10726972064555,173589300
2010-03-01,83.94755554199219,84.03008554822611,83.4073612190412,83.42986836181494,147709700
2010-03-02,84.1801528930664,84.58529871185335,84.03010143015113,84.30770293305044,160992400
2010-03-03,84.25520324707031,84.75788205709345,84.04512313813298,84.39775045158427,150785000
2010-03-04,84.51025390625,84.63029962876476,84.05258960632888,84.36770104178748,135770400
2010-03-05,85.71820068359375,85.78572212037359,84.85539051657645,85.05796627510803,176118800
2010-03-08,85.73318481445312,85.92075195222563,85.58313339387304,85.72568625029048,114631200
2010-03-09,85.8757553100586,86.27339680795812,85.4330995215579,85.47811381215907,154556700
2010-03-10,86.2583999633789,86.490981446487,85.83825129090071,85.91327702182947,186088800
2010-03-11,86.6185073852539,86.64102025144312,85.79321307193192,86.0558059365214,160791100
2010-03-12,86.62604522705078,87.00868396314388,86.38595941156238,86.99367537987109,162074800
2010-03-15,86.6485366821289,86.70855955615265,85.98079794987963,86.47597807443104,146816800
2010-03-16,87.3387680053711,87.42129228287142,86.64851656256529,86.88860227881666,168673000
2010-03-17,87.8564682006836,88.14157398495308,87.34628522914979,87.60137957696479,177468100
2010-03-18,87.81146240234375,87.98402102352894,87.45883514501303,87.86398099019534,196509100
2010-03-19,87.36695861816406,88.36139129471653,87.02794395145254,87.36695861816406,226641100
2010-03-22,87.83406066894531,87.99227100453224,86.81702789080464,86.86976275344396,184477800
2010-03-23,88.4518051147461,88.5271397989199,87.6758411995187,87.96212104611435,182941600
2010-03-24,88.02239227294922,88.4668767155949,87.07316483184474,88.12033254298507,196072600
2010-03-25,87.8792724609375,89.0243748817558,87.77380272800697,88.6175605914512,223396300
2010-03-26,87.8265151977539,88.45933343396152,87.47997105683051,88.04498980244497,205808500
2010-03-29,88.38398742675781,88.54219196554014,87.90937381041086,88.27098254257983,134513500
2010-03-30,88.44427490234375,88.76821923543368,88.07513090573791,88.48947456585964,145772500
2010-03-31,88.1429214477539,88.53466523632568,87.84911216940814,88.1052512335382,161078700
2010-04-01,88.74564361572266,89.08465267991868,88.21828915759902,88.74564361572266,161215200
2010-04-05,89.46883392333984,89.52909821952058,88.83600995826637,89.08461957839052,105847600
2010-04-06,89.6797866821289,89.83799126003642,89.1147678691727,89.21270239425775,110384200
2010-04-07,89.16751861572266,89.92087716722578,88.7531691133281,89.4989982176383,184576300
2010-04-08,89.47635650634766,89.62703160441393,88.59492873641233,88.85860297344419,158704000
2010-04-09,90.06398010253906,90.10164456602716,89.49896142121239,89.66469540636106,133006500
2010-04-12,90.20709991455078,90.44064484077255,90.07149522269071,90.17696489995228,110279000
2010-04-13,90.2749252319336,90.43312978304652,89.649636472058,90.11672068082066,125043600
2010-04-14,91.29950714111328,91.29950714111328,90.4632788499188,90.60641303876763,161609000
2010-04-15,91.37483978271484,91.58577921221841,91.11869494141168,91.14882996672196,144615300
2010-04-16,89.92085266113281,91.37483449918754,89.46130361014305,91.05089018041882,366786700
2010-04-19,90.25987243652344,90.3502775180629,89.25037489050884,89.65718913593328,217947800
2010-04-20,91.06597900390625,91.14131945666887,90.30509101049607,90.82490449900676,157708000
2010-04-21,90.90022277832031,91.32963681503948,90.39546830721645,91.11869164549778,192910100
2010-04-22,91.17144012451172,91.28444504530665,89.74006362000586,90.25987705939215,115360300
2010-04-23,91.7665786743164,91.80424889084262,90.87761559237772,91.1111605890377,177335500
2010-04-26,91.42003631591797,92.00012547485441,91.3296369907515,91.79671549789346,143457300
2010-04-27,89.25789642333984,91.41249593408338,89.08462148049273,90.89268260087773,355853300
2010-04-28,89.93590545654297,90.16191522970698,89.09967734257033,89.68730160326331,300674100
2010-04-29,91.05091094970703,91.23925057921616,90.45575703073786,90.47835686665186,193775000
2010-04-30,89.50650787353516,91.16389976896839,89.48390804161438,91.06595950042056,270000900
2010-05-03,90.66666412353516,90.91527372516154,89.80030098759514,89.93590570233069,182747900
2010-05-04,88.53466796875,89.6722406506937,88.0826541225498,89.65717601314311,360353400
2010-05-05,88.0073013305664,88.74559486732322,87.36694803457328,87.81142659670574,328973200
2010-05-06,85.08428192138672,88.14291455294477,79.10261562443762,87.58543106170033,647356600
2010-05-07,83.81864166259766,85.70956675790701,82.42493003037207,84.85827399280362,637558800
2010-05-10,87.51011657714844,87.87926059255116,86.5684185548272,87.24643653276362,396159600
2010-05-11,87.26152038574219,88.41415802330786,86.56843191379896,86.6889662904689,317849800
2010-05-12,88.48191833496094,88.60999359725153,87.45735072263777,87.6080258113129,235607100
2010-05-13,87.3820571899414,88.6552349872162,87.30672248397117,88.2408854828754,234452500
2010-05-14,85.79998779296875,86.88482572919347,85.03156475325521,86.7266211547721,345601400
2010-05-17,85.84517669677734,86.27459070142642,84.20285535927134,86.0335162733369,325739800
2010-05-18,84.677490234375,86.80196081602743,84.39874554100257,86.54581595634247,360556800
2010-05-19,84.19535064697266,84.95623862146385,83.14064755888585,84.20288009392605,394742700
2010-05-20,81.01615905761719,82.78655006137124,80.96342420210684,82.40233568684256,530418300
2010-05-21,82.19892883300781,82.40233305557604,79.37383506158925,79.78818444713117,500909400
2010-05-24,81.14423370361328,82.40987606313473,81.0688990120985,81.75445217685215,269823000
2010-05-25,81.22710418701172,81.26477440688092,78.63554939659659,79.18550356927648,396505200
2010-05-26,80.7374267578125,82.47015355735303,80.49635227460999,81.72433027301855,349719300
2010-05-27,83.44194030761719,83.47207531972722,81.95028882033276,82.2591683837112,300870500
2010-05-28,82.39480590820312,83.41183854474161,82.00305634228118,83.35156849649698,297933500
2010-06-01,81.00860595703125,82.83173141327903,80.8880716343676,81.62635944830805,277909400
2010-06-02,83.11803436279297,83.12556380853611,80.99356388651776,81.42297794828609,240243700
2010-06-03,83.40431213378906,83.66798643803753,82.55301916645298,83.3591124666804,226618300
2010-06-04,80.4737548828125,82.36468633051342,80.20254536251797,81.82226728992437,398475600
2010-06-07,79.4717788696289,81.06890080432598,79.41151456368591,80.76002109031771,264609100
2010-06-08,80.32307434082031,80.48127891443764,78.83895737940787,79.53204572506525,357774300
2010-06-09,79.8936767578125,81.57366311048008,79.5546619607295,80.790169526492,268023300
2010-06-10,82.22904205322266,82.32697654217066,79.88609778021214,81.25720936381639,317890600
2010-06-11,82.62833404541016,82.68106889361329,81.4530970010734,81.50583184927653,214128200
2010-06-14,82.50028991699219,83.71319754670169,82.41742002321061,83.2611778541952,207196100
2010-06-15,84.37615966796875,84.4514943752812,82.93724204332102,83.0803820105835,238268700
2010-06-16,84.34599304199219,84.69253716396007,83.77343913507379,83.93917887768183,216374000
2010-06-17,84.48160552978516,84.62474545659045,83.66044768113365,84.58707523974648,263185800
2010-06-18,84.57318115234375,84.87595350758244,84.30068141261894,84.64887424115342,174006600
2010-06-21,84.33098602294922,85.68590832644232,83.86167948639462,85.62535730157583,213140700
2010-06-22,82.93821716308594,84.7018951624711,82.81710932568978,84.33099483073838,239355400
2010-06-23,82.68081665039062,83.28636707431059,82.11310987952146,82.99116001545958,254639900
2010-06-24,81.3107681274414,82.37805990534952,81.09882513537798,82.27208840931779,268523600
2010-06-25,81.65139770507812,82.06771265663012,80.81875625194704,81.55299147424616,238726500
2010-06-28,81.39403533935547,81.99202067522934,81.09882819285001,81.77250663231258,169218600
2010-06-29,78.88098907470703,81.37890200973357,78.38140995271003,80.25105335739595,373649500
